Cell type,Gene
Fr. II eTreg,NCAPH
Fr. II eTreg,NCK1-AS1
Fr. II eTreg,NDC80
Fr. II eTreg,NEIL3
Fr. II eTreg,NEK2
Fr. II eTreg,NF1
Fr. II eTreg,NINJ2
Fr. II eTreg,NSD2
Fr. II eTreg,NUF2
Fr. II eTreg,NUSAP1
Fr. II eTreg,OGDH
Fr. II eTreg,OGN
Fr. II eTreg,OIP5
Fr. II eTreg,OR2A1-AS1
Fr. II eTreg,OR2A9P
Fr. II eTreg,ORC1
Fr. II eTreg,OSBP2
Fr. II eTreg,OTULIN
Fr. II eTreg,OXSR1
Fr. II eTreg,PARD6G
Fr. II eTreg,PARP12
Fr. II eTreg,PARPBP
Fr. II eTreg,PBK
Fr. II eTreg,PCLAF
Fr. II eTreg,PCNA
Fr. II eTreg,PHLDA1
Fr. II eTreg,PHLDA3
Fr. II eTreg,PI16
Fr. II eTreg,PIK3R3
Fr. II eTreg,PIMREG
Fr. II eTreg,PKIA
Fr. II eTreg,PKMYT1
Fr. II eTreg,PLK1
Fr. II eTreg,PLK4
Fr. II eTreg,PM20D1
Fr. II eTreg,PMCH
Fr. II eTreg,POC1A
Fr. II eTreg,POLE2
Fr. II eTreg,POLQ
Fr. II eTreg,PPP1CA
Fr. II eTreg,PPP1R26-AS1
Fr. II eTreg,PPP2CA
Fr. II eTreg,PPP3CB
Fr. II eTreg,PRC1
Fr. II eTreg,PSMB4
Fr. II eTreg,PSMB8
Fr. II eTreg,PSMC1
Fr. II eTreg,PTTG1
Fr. II eTreg,RAB11FIP5
Fr. II eTreg,RAB33A
Fr. II eTreg,RACGAP1
Fr. II eTreg,RAD21
Fr. II eTreg,RAD51
Fr. II eTreg,RAD54L
Fr. II eTreg,RANBP9
Fr. II eTreg,RCBTB1
Fr. II eTreg,RDX
Fr. II eTreg,REXO5
Fr. II eTreg,RGS1
Fr. II eTreg,RNF10
Fr. II eTreg,RPL39L
Fr. II eTreg,RPS27L
Fr. II eTreg,RRM1
Fr. II eTreg,RRM2
Fr. II eTreg,RTP4
Fr. II eTreg,SDC4
Fr. II eTreg,SEMA3G
Fr. II eTreg,SF3B6
Fr. II eTreg,SGMS1
Fr. II eTreg,SGO2
Fr. II eTreg,SH3PXD2A-AS1
Fr. II eTreg,SH3RF2
Fr. II eTreg,SKA1
Fr. II eTreg,SKA2
Fr. II eTreg,SKA3
Fr. II eTreg,SLBP
Fr. II eTreg,SLC16A1
Fr. II eTreg,SLC16A10
Fr. II eTreg,SLC1A1
Fr. II eTreg,SLC22A3
Fr. II eTreg,SLC35D2
Fr. II eTreg,SLC35E4
Fr. II eTreg,SLC41A3
Fr. II eTreg,SMC4
Fr. II eTreg,SNORA14
Fr. II eTreg,SNX24
Fr. II eTreg,SPAG5
Fr. II eTreg,SPATA31C2
Fr. II eTreg,SPC24
Fr. II eTreg,SPC25
Fr. II eTreg,SPSB1
Fr. II eTreg,SRGAP3
Fr. II eTreg,STAC
Fr. II eTreg,STAM
Fr. II eTreg,STIL
Fr. II eTreg,STRIP2
Fr. II eTreg,STX1A
Fr. II eTreg,SUMO1
Fr. II eTreg,SVBP
Fr. II eTreg,TEX14
Fr. II eTreg,THOC3
Fr. II eTreg,TICRR
Fr. II eTreg,TK1
Fr. II eTreg,TMEM169
Fr. II eTreg,TMPRSS3
Fr. II eTreg,TNFRSF18
Fr. II eTreg,TNFRSF19
Fr. II eTreg,TNFRSF9
Fr. II eTreg,TOB1-AS1
Fr. II eTreg,TOP2A
Fr. II eTreg,TOX
Fr. II eTreg,TOX2
Fr. II eTreg,TPM4
Fr. II eTreg,TPX2
Fr. II eTreg,TRAV34
Fr. II eTreg,TRIM16
Fr. II eTreg,TRIM16L
Fr. II eTreg,TRIM69
Fr. II eTreg,TRIP12
Fr. II eTreg,TRIP13
Fr. II eTreg,TROAP
Fr. II eTreg,TTK
Fr. II eTreg,TTN
Fr. II eTreg,TUBB4B
Fr. II eTreg,TUFT1
Fr. II eTreg,TULP4
Fr. II eTreg,TYMS
Fr. II eTreg,UBA1
Fr. II eTreg,UBE2C
Fr. II eTreg,UBE2S
Fr. II eTreg,UBE2T
Fr. II eTreg,UBL3
Fr. II eTreg,UFD1
Fr. II eTreg,UGP2
Fr. II eTreg,UHRF1
Fr. II eTreg,UTS2
Fr. II eTreg,WIPI2
Fr. II eTreg,XRCC2
Fr. II eTreg,ZC2HC1A
Fr. II eTreg,ZNF280C
Fr. II eTreg,ZNRF1
Fr. II eTreg,ZWINT
Fr. III T,AL356272.1
Fr. III T,CDKL4
Fr. III T,RGPD2
Naive CD8,A1BG-AS1
Naive CD8,ABLIM1
Naive CD8,AC008083.3
Naive CD8,AC008105.3
Naive CD8,AC008966.1
Naive CD8,AC009123.1
Naive CD8,AC012435.1
Naive CD8,AC022075.2
Naive CD8,AC022726.2
Naive CD8,AC022916.3
Naive CD8,AC023632.6
Naive CD8,AC090948.1
Naive CD8,AC090948.2
Naive CD8,AC090948.3
Naive CD8,AC091825.1
Naive CD8,AC093609.1
Naive CD8,AC105202.1
Naive CD8,AC106779.1
Naive CD8,AC107214.1
Naive CD8,AC108062.1
Naive CD8,AC108488.1
Naive CD8,ADGRF3
Naive CD8,AGBL3
Naive CD8,AL022069.1
Naive CD8,AL031432.4
Naive CD8,AL031985.3
Naive CD8,AL034550.2
Naive CD8,AL132996.1
Naive CD8,AL133384.2
Naive CD8,AL136368.1
Naive CD8,AL139415.1
Naive CD8,AL158151.1
Naive CD8,AL161644.1
Naive CD8,AL162586.1
Naive CD8,AL163932.1
Naive CD8,AL354920.1
Naive CD8,AL390719.1
Naive CD8,AL590006.1
Naive CD8,AMIGO1
Naive CD8,ANAPC1P1
Naive CD8,AP1M1
Naive CD8,APBA2
Naive CD8,ARHGEF10
Naive CD8,ARHGEF4
Naive CD8,ARMC9
Naive CD8,ARMCX2
Naive CD8,ASIC1
Naive CD8,ATP6V0E2-AS1
Naive CD8,ATP8A2
Naive CD8,C10orf25
Naive CD8,C17orf51
Naive CD8,C17orf97
Naive CD8,C1orf228
Naive CD8,C22orf15
Naive CD8,C2orf40
Naive CD8,CA6
Naive CD8,CACHD1
Naive CD8,CCR7
Naive CD8,CD248
Naive CD8,CD8B
Naive CD8,CD8B2
Naive CD8,CDNF
Naive CD8,CEP41
Naive CD8,CIAPIN1
Naive CD8,CLDN7
Naive CD8,CLEC11A
Naive CD8,CNN3
Naive CD8,COL5A2
Naive CD8,COL6A1
Naive CD8,CPA5
Naive CD8,CPEB1
Naive CD8,CRTAM
Naive CD8,CYP2J2
Naive CD8,DCHS1
Naive CD8,DEPDC7
Naive CD8,DGCR6
Naive CD8,DICER1-AS1
Naive CD8,DIXDC1
Naive CD8,DLGAP4-AS1
Naive CD8,DLL1
Naive CD8,DNMT3A
Naive CD8,DOCK3
Naive CD8,DPY19L2
Naive CD8,DSC1
Naive CD8,DSEL
Naive CD8,DSTNP1
Naive CD8,EFCC1
Naive CD8,EFHD1
Naive CD8,EIF1B-AS1
Naive CD8,EPHA1
Naive CD8,ERBB3
Naive CD8,EVPL
Naive CD8,FAM153C
Naive CD8,FAM178B
Naive CD8,FAM229B
Naive CD8,FBXO15
Naive CD8,FBXO24
Naive CD8,FCGBP
Naive CD8,FGF14-AS2
Naive CD8,FITM2
Naive CD8,FOXJ1
Naive CD8,FRMD6
Naive CD8,FSBP
Naive CD8,GIPC3
Naive CD8,GLIS3
Naive CD8,GOLGA2P10
Naive CD8,GP5
Naive CD8,GPRASP2
Naive CD8,GS1-124K5.4
Naive CD8,HSF2
Naive CD8,IFNL3P1
Naive CD8,IFT140
Naive CD8,IQCA1
Naive CD8,IQSEC3
Naive CD8,KCNH3
Naive CD8,KCNMB4
Naive CD8,LDLRAP1
Naive CD8,LINC00563
Naive CD8,LINC00663
Naive CD8,LINC01521
Naive CD8,LINC01569
Naive CD8,LINC02295
Naive CD8,LINC02446
Naive CD8,LMLN
Naive CD8,LRRC7
Naive CD8,LRRN3
Naive CD8,MAGI2-AS3
Naive CD8,MAML2
Naive CD8,MEST
Naive CD8,METAP1D
Naive CD8,MFSD13A
Naive CD8,MIR663AHG
Naive CD8,MKRN3
Naive CD8,MLXIP
Naive CD8,MMP28
Naive CD8,MOCS1
Naive CD8,MPP2
Naive CD8,MTRF1
Naive CD8,MTUS1
Naive CD8,MXRA8
Naive CD8,MYOM1
Naive CD8,NAA16
Naive CD8,NELL2
Naive CD8,NPAS2
Naive CD8,NPM3
Naive CD8,NR1I2
Naive CD8,NRCAM
Naive CD8,NT5E
Naive CD8,OLMALINC
Naive CD8,OXNAD1
Naive CD8,PARD3B
Naive CD8,PCED1B
Naive CD8,PCSK5
Naive CD8,PDE3B
Naive CD8,PGGHG
Naive CD8,PHGDH
Naive CD8,PLAG1
Naive CD8,PLCG1-AS1
Naive CD8,PLEKHG4
Naive CD8,PRKAR1B
Naive CD8,PRKAR2A-AS1
Naive CD8,PRRT1
Naive CD8,PSD
Naive CD8,PTGR2
Naive CD8,RAI2
Naive CD8,RBM20
Naive CD8,REG4
Naive CD8,RGS10
Naive CD8,RING1
Naive CD8,RNF157-AS1
Naive CD8,ROBO1
Naive CD8,RUNDC3B
Naive CD8,S100B
Naive CD8,SCNN1D
Naive CD8,SEC14L2
Naive CD8,SFRP5
Naive CD8,SH3BGRL2
Naive CD8,SHC2
Naive CD8,SLC7A8
Naive CD8,SLC9A3-AS1
Naive CD8,SMIM10L2A
